egID	Symbol	Name	Location	class_type	Alias
57492	ARID1B	AT-rich interaction domain 1B	6q25.3	Histone modification write	KIAA1235; ELD/OSA1; p250R; BAF250b; DAN15; 6A3-5; MRD12; OSA2; ARID domain-containing protein 1B; BRG1-associated factor 250b; BRG1-binding protein ELD/OSA1; ELD (eyelid)/OSA protein; hOsa2; Osa homolog 2; BRG1-binding protein hELD/OSA1; AT-rich interactive domain-containing protein 1B
196528	ARID2	AT-rich interaction domain 2	12q12	Chromatin remodelling cofactor	KIAA1557; DKFZp686G052; FLJ30619; BAF200; ARID domain-containing protein 2; BRG1-associated factor 200; zinc finger protein with activation potential; zipzap; zipzap/p200; AT-rich interactive domain-containing protein 2
5926	ARID4A	AT-rich interaction domain 4A	14q23.1	Histone modification write cofactor	RBP-1; RBBP1; retinoblastoma-binding protein 1; RBBP-1; ARID domain-containing protein 4A; retinoblastoma binding protein 1; AT-rich interactive domain-containing protein 4A
51742	ARID4B	AT-rich interaction domain 4B	1q42.3	Histone modification write cofactor	BCAA; BRCAA1; SAP180; RBP1L1; retinoblastoma binding protein 1-like 1; AT rich interactive domain 4B (RBP1- like); RBBP1L1; 180 kDa Sin3-associated polypeptide; ARID domain-containing protein 4B; Rb-binding protein homolog; SIN3A-associated protein 180; breast cancer-associated antigen 1; breast cancer-associated antigen BRCAA1; breast carcinoma-associated antigen; histone deacetylase complex subunit SAP180; retinoblastoma-binding protein 1-like 1; sin3-associated polypeptide p180; AT-rich interactive domain-containing protein 4B
55870	ASH1L	ASH1 like histone lysine methyltransferase	1q22	Histone modification write	huASH1; ASH1L1; KMT2H; ASH11; ASH1-like protein; absent small and homeotic disks protein 1 homolog; lysine N-methyltransferase 2H; probable histone-lysine N-methyltransferase ASH1L; Histone-lysine N-methyltransferase ASH1L
9070	ASH2L	ASH2 like histone lysine methyltransferase complex subunit	8p11.23	Histone modification write cofactor	ASH2L2; Bre2; ASH2L1; ash2 (absent, small, or homeotic, Drosophila, homolog)-like; ASH21; ASH2-like protein; Set1/Ash2 histone methyltransferase complex subunit ASH2
171023	ASXL1	additional sex combs like 1, transcriptional regulator	20q11.21	Histone modification erase, Polycomb group (PcG) protein	KIAA0978; additional sex combs like 1 (Drosophila); BOPS; additional sex combs like 1; Additional sex combs-like protein 1; Putative Polycomb group protein ASXL1
55252	ASXL2	additional sex combs like 2, transcriptional regulator	2p23.3	Histone modification read	ASXH2; FLJ10898; KIAA1685; additional sex combs like 2 (Drosophila); additional sex combs like 2; additional sex combs-like protein 2; polycomb group protein ASXH2; Putative Polycomb group protein ASXL2
80816	ASXL3	additional sex combs like 3, transcriptional regulator	18q12.1	Scaffold protein, Polycomb group (PcG) protein	KIAA1713; additional sex combs like 3 (Drosophila); BRPS; additional sex combs like 3; additional sex combs-like protein 3; Putative Polycomb group protein ASXL3
54454	ATAD2B	ATPase family, AAA domain containing 2B	2p24.1-p23.3	Histone modification read	KIAA1240; ATPase family AAA domain-containing protein 2B
29028	ATAD2	ATPase family, AAA domain containing 2	8q24.13	Chromatin remodelling	PRO2000; DKFZp667N1320; MGC5254; MGC29843; CT137; ANCCA; AAA nuclear coregulator cancer-associated protein; ATPase family AAA domain-containing protein 2
1386	ATF2	activating transcription factor 2	2q31.1	Histone modification write	TREB7; CRE-BP1; HB16; cAMP responsive element binding protein 2; activating transcription factor 2 splice variant ATF2-var2; cAMP response element-binding protein CRE-BP1; cAMP responsive element binding protein 2, formerly; cAMP-dependent transcription factor ATF-2; histone acetyltransferase ATF2; Cyclic AMP-dependent transcription factor ATF-2
55729	ATF7IP	activating transcription factor 7 interacting protein	12p13.1	Histone modification write cofactor	FLJ10688; p621; ATF-IP; MCAF1; ATF-interacting protein; ATF7-interacting protein; ATFa-associated modulator; MBD1-containing chromatin-associated factor 1; hAM; Activating transcription factor 7-interacting protein 1
546	ATRX	ATRX, chromatin remodeler	Xq21.1	Chromatin remodelling	XH2; XNP; RAD54 homolog (S. cerevisiae); RAD54; JMS; MRX52; alpha thalassemia/mental retardation syndrome X-linked (RAD54 (S. cerevisiae) homolog); Juberg-Marsidi syndrome; mental retardation, X-linked 52; ATR2; MRXHF1; SFM1; ZNF-HX; ATP-dependent helicase ATRX; DNA dependent ATPase and helicase; X-linked helicase II; X-linked nuclear protein; alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae); helicase 2, X-linked; Transcriptional regulator ATRX
6314	ATXN7	ataxin 7	3p14.1	Histone modification write cofactor	OPCA3; ADCAII; SCA7; spinocerebellar ataxia 7 (olivopontocerebellar atrophy with retinal degeneration); spinocerebellar ataxia type 7 protein; Ataxin-7
57597	BAHCC1	BAH domain and coiled-coil containing 1	17q25.3	#	KIAA1447; BAHD2; BAH domain-containing protein 2; bromo adjacent homology domain-containing protein 2; BAH and coiled-coil domain-containing protein 1
22893	BAHD1	bromo adjacent homology domain containing 1	15q15.1	Chromatin remodelling	KIAA0945; BAH domain-containing protein 1; Bromo adjacent homology domain-containing 1 protein
8314	BAP1	BRCA1 associated protein 1	3p21.1	Histone modification erase, Polycomb group (PcG) protein	hucep-6; KIAA0272; UCHL2; HUCEP-13; cerebral protein 6; cerebral protein-13; BRCA1-associated protein 1; Ubiquitin carboxyl-terminal hydrolase BAP1
7917	BAG6	BCL2 associated athanogene 6	6p21.33	#	G3; D6S52E; BAT3; HLA-B associated transcript 3; BAG-6; BAG family molecular chaperone regulator 6; HLA-B associated transcript-3; HLA-B-associated transcript 3; large proline-rich protein BAT3; protein G3; protein Scythe; scythe; Large proline-rich protein BAG6
11177	BAZ1A	bromodomain adjacent to zinc finger domain 1A	14q13.1-q13.2	Histone chaperone	hACF1; ACF1; WALp1; WCRF180; ATP-dependent chromatin remodeling protein; ATP-dependent chromatin-remodeling protein; ATP-utilizing chromatin assembly and remodeling factor 1; CHRAC subunit ACF1; hWALp1; williams syndrome transcription factor-related chromatin-remodeling factor 180; Bromodomain adjacent to zinc finger domain protein 1A
9031	BAZ1B	bromodomain adjacent to zinc finger domain 1B	7q11.23	Histone modification write	WSTF; Williams-Beuren syndrome chromosome region 9; Williams-Beuren syndrome chromosome region 10; transcription factor WSTF; WBSCR9; WBSCR10; hWALp2; williams syndrome transcription factor; williams-Beuren syndrome chromosomal region 10 protein; williams-Beuren syndrome chromosomal region 9 protein; Bromodomain adjacent to zinc finger domain protein 1B; Tyrosine-protein kinase BAZ1B
11176	BAZ2A	bromodomain adjacent to zinc finger domain 2A	12q13.3	Chromatin remodelling, Histone modification erase	KIAA0314; TIP5; WALp3; TTF-I interacting peptide 5; TTF-I-interacting protein 5; transcription termination factor I-interacting protein 5; hWALp3; Bromodomain adjacent to zinc finger domain protein 2A
29994	BAZ2B	bromodomain adjacent to zinc finger domain 2B	2q24.2	Histone modification read	WALp4; hWALp4; Bromodomain adjacent to zinc finger domain protein 2B
648	BMI1	BMI1 proto-oncogene, polycomb ring finger	10p12.2	Polycomb group (PcG) protein	RNF51; PCGF4; polycomb group ring finger 4; B lymphoma Mo-MLV insertion region 1 homolog (mouse); FLVI2/BMI1; flvi-2/bmi-1; B lymphoma Mo-MLV insertion region 1 homolog; BMI1 polycomb ring finger oncogene; BMI1 polycomb ring finger proto-oncogene; murine leukemia viral (bmi-1) oncogene homolog; polycomb group RING finger protein 4; polycomb group protein Bmi1; ring finger protein 51; Polycomb complex protein BMI-1
2186	BPTF	bromodomain PHD finger transcription factor	17q24.2	Chromatin remodelling	FAC1; NURF301; FALZ; fetal Alzheimer antigen; bromodomain and PHD domain transcription factor; bromodomain and PHD finger-containing transcription factor; fetal Alz-50 clone 1 protein; fetal Alz-50 reactive clone 1; nucleosome remodeling factor, large subunit; Nucleosome-remodeling factor subunit BPTF
23774	BRD1	bromodomain containing 1	22q13.33	Histone modification read	BRL; BRPF2; BR140-like; bromodomain-containing 1; BR140-like protein; bromodomain and PHD finger-containing protein 2; Bromodomain-containing protein 1
6046	BRD2	bromodomain containing 2	6p21.32	Histone modification read	KIAA9001; RING3; D6S113E; NAT; FSRG1; bromodomain-containing 2; FSH; O27.1.1; female sterile homeotic-related gene 1; really interesting new gene 3 protein; Bromodomain-containing protein 2
8019	BRD3	bromodomain containing 3	9q34.2	Histone modification read	RING3L; ORFX; KIAA0043; RING3-like; bromodomain-containing 3; Bromodomain-containing protein 3
23476	BRD4	bromodomain containing 4	19p13.12	Histone modification read	HUNKI; HUNK1; chromosome-associated protein; bromodomain-containing 4; Protein HUNK1; Bromodomain-containing protein 4
29117	BRD7	bromodomain containing 7	16q12.1	Histone modification read	CELTIX1; bromodomain-containing 7; NAG4; 75 kDa bromodomain protein; protein CELTIX-1; Bromodomain-containing protein 7
10902	BRD8	bromodomain containing 8	5q31.2	Histone modification read	skeletal muscle abundant protein 2; thyroid hormone receptor coactivating protein of 120 kDa; trCP120; Skeletal muscle abundant protein; Bromodomain-containing protein 8
65980	BRD9	bromodomain containing 9	5p15.33	Histone modification read	FLJ13441; LAVS3040; PRO9856; rhabdomyosarcoma antigen MU-RMS-40.8; sarcoma antigen NY-SAR-29; Bromodomain-containing protein 9
676	BRDT	bromodomain testis associated	1p22.1	Histone modification read	BRD6; CT9; cancer/testis antigen 9; Bromodomain testis-specific protein
7862	BRPF1	bromodomain and PHD finger containing 1	3p25.3	Histone modification read	BR140; peregrin; bromodomain-containing protein, 140kD; bromodomain and PHD finger-containing protein 1; Protein Br140
27154	BRPF3	bromodomain and PHD finger containing 3	6p21.31	Histone modification write cofactor	KIAA1286; Bromodomain and PHD finger-containing protein 3
54014	BRWD1	bromodomain and WD repeat domain containing 1	21q22.2	Histone modification read	FLJ11315; N143; DCAF19; C21orf107; WDR9; chromosome 21 open reading frame 107; WD repeat domain 9; WD repeat protein WDR9-form2; WD repeat-containing protein 9; transcriptional unit N143; Bromodomain and WD repeat-containing protein 1
254065	BRWD3	bromodomain and WD repeat domain containing 3	Xq21.1	Histone modification read	FLJ38568; MRX93; BRODL; bromo domain-containing protein disrupted in leukemia; novel WD repeat domain protein; Bromodomain and WD repeat-containing protein 3
9044	BTAF1	B-TFIID TATA-box binding protein associated factor 1	10q23.32	#	TAFII170; TAF172; MOT1; TAF-172; TAF(II)170; Mot1 homolog (S. cerevisiae); BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170 kD (Mot1 homolog, S. cerevisiae); ATP-dependent helicase BTAF1; B-TFIID transcription factor-associated 170 kDa subunit; BTAF1 RNA polymerase II, B-TFIID transcription factor-associated, 170kDa (Mot1 homolog, S. cerevisiae); Mot1 homolog; TBP-associated factor 172; TATA-binding protein-associated factor 172
79609	VCPKMT	valosin containing protein lysine methyltransferase	14q21.3	#	VCP-KMT; C14orf138; METTL21D; chromosome 14 open reading frame 138; methyltransferase like 21D; VCP lysine methyltransferase; methyltransferase-like protein 21D; valosin-containing protein lysine methyltransferase; Protein-lysine methyltransferase METTL21D
79697	RIOX1	ribosomal oxygenase 1	14q24.3	#	
55257	MRGBP	MRG domain binding protein	20q13.33	Histone modification write cofactor	FLJ10914; MRG15BP; Eaf7; C20orf20; chromosome 20 open reading frame 20; URCC4; MRG(MORF4-related gene)-binding protein; MRG-binding protein; up-regulated in colon cancer 4; MRG/MORF4L-binding protein
79823	CAMKMT	calmodulin-lysine N-methyltransferase	2p21	#	CLNMT; CaM KMT; C2orf34; chromosome 2 open reading frame 34; KMT
133383	SETD9	SET domain containing 9	5q11.2	#	MGC33648; C5orf35; chromosome 5 open reading frame 35; SET domain-containing protein 9
79969	ATAT1	alpha tubulin acetyltransferase 1	6p21.33	#	FLJ13158; Em:AB023049.7; MEC17; alpha-tubulin N-acetyltransferase; C6orf134; chromosome 6 open reading frame 134; Nbla00487; acetyltransferase mec-17 homolog; alpha-TAT; alpha-TAT1; Alpha-tubulin N-acetyltransferase 1
10498	CARM1	coactivator associated arginine methyltransferase 1	19p13.2	Histone modification write	PRMT4; Histone-arginine methyltransferase CARM1
10951	CBX1	chromobox 1	17q21.32	Histone modification read	HP1Hs-beta; M31; MOD1; CBX; HP1-BETA; HP1 beta homolog (Drosophila ); chromobox homolog 1 (Drosophila HP1 beta); HP1Hsbeta; HP1 beta homolog; chromobox homolog 1 (HP1 beta homolog Drosophila ); heterochromatin protein 1 homolog beta; heterochromatin protein 1-beta; heterochromatin protein p25 beta; modifier 1 protein; Heterochromatin protein p25; HP1 beta; Chromobox protein homolog 1
84733	CBX2	chromobox 2	17q25.3	Histone modification read	MGC10561; Pc class homolog (Drosophila); CDCA6; chromobox homolog 2 (Drosophila Pc class); cell division cycle associated 6; SRXY5; Pc class homolog; chromobox homolog 2 (Pc class homolog, Drosophila); modifier 3; Chromobox protein homolog 2
11335	CBX3	chromobox 3	7p15.2	Histone modification read	HP1Hs-gamma; HP1 gamma homolog (Drosophila); chromobox homolog 3 (Drosophila HP1 gamma); HECH; HP1-GAMMA; HP1 gamma homolog; chromobox homolog 3 (HP1 gamma homolog, Drosophila); heterochromatin protein 1 homolog gamma; heterochromatin protein HP1 gamma; heterochromatin-like protein 1; modifier 2 protein; HP1 gamma; Chromobox protein homolog 3
8535	CBX4	chromobox 4	17q25.3	Histone modification read	NBP16; NS5ATP1-binding protein 16; Pc class 2 homolog (Drosophila); chromobox homolog 4 (Drosophila Pc class); Pc class 2 homolog; chromobox homolog 4 (Pc class homolog, Drosophila); chromobox protein homolog 4; polycomb 2 homolog; E3 SUMO-protein ligase CBX4
23468	CBX5	chromobox 5	12q13.13	Histone modification read	HP1Hs-alpha; HP1-ALPHA; HP1 alpha homolog (Drosophila); chromobox homolog 5 (Drosophila HP1 alpha); chromobox homolog 5 (HP1 alpha homolog, Drosophila); HEL25; HP1A; HP1 alpha homolog; HP1Hs alpha; antigen p25; epididymis luminal protein 25; heterochromatin protein 1 homolog alpha; heterochromatin protein 1-alpha; HP1 alpha; Chromobox protein homolog 5
23466	CBX6	chromobox 6	22q13.1	Histone modification read	Chromobox protein homolog 6
23492	CBX7	chromobox 7	22q13.1	Histone modification read	Chromobox protein homolog 7
57332	CBX8	chromobox 8	17q25.3	Histone modification read	RC1; HPC3; polycomb 3; Pc class 3 homolog (Drosophila); chromobox homolog 8 (Drosophila Pc class); Pc class 3 homolog; chromobox homolog 8 (Pc class homolog, Drosophila); rectachrome 1; Polycomb 3 homolog; Chromobox protein homolog 8
112869	SGF29	SAGA complex associated factor 29	16p11.2	Histone modification read	FLJ32446; TDRD29; SAGA-associated factor 29 homolog (yeast); CCDC101; coiled-coil domain containing 101; STAF36; coiled-coil domain-containing protein 101; SAGA-associated factor 29 homolog
253175	CDY1B	chromodomain Y-linked 1B	Yq11.23	Histone modification write	chromodomain protein, Y chromosome, 1, centromeric; testis-specific chromodomain protein on Y, centromeric
9085	CDY1	chromodomain Y-linked 1	Yq11.23	Histone modification write	CDY1A; chromodomain protein, Y chromosome, 1; CDYA; testis-specific chromodomain protein on Y
203611	CDY2B	chromodomain Y-linked 2B	Yq11.222	Histone modification write	Y chromosome chromodomain protein 2B; chromodomain protein, Y chromosome, 2 related; testis-specific chromodomain protein Y protein 2 related
124359	CDYL2	chromodomain Y like 2	16q23.2	Histone modification read	FLJ38866; chromodomain Y-like protein 2; PCCP1; CDY-like 2; prostate cancer candidate protein 1, PCCP1
9425	CDYL	chromodomain Y like	6p25.1	Histone modification write	DKFZP586C1622; CDYL1; CDY-like, autosomal; testis-specific chromodomain Y-like protein; chromodomain protein, Y chromosome-like; CDY-like; Chromodomain Y-like protein
27443	CECR2	CECR2, histone acetyl-lysine reader	22q11.1-q11.21	Histone modification read	KIAA1740; Cat eye syndrome critical region protein 2
1105	CHD1	chromodomain helicase DNA binding protein 1	5q15-q21.1	Chromatin remodelling	ATP-dependent helicase CHD1; CHD-1; Chromodomain-helicase-DNA-binding protein 1
1106	CHD2	chromodomain helicase DNA binding protein 2	15q26.1	Chromatin remodelling	FLJ38614; DKFZp547I1315; DKFZp781D1727; DKFZp686E01200; EEOC; ATP-dependent helicase CHD2; CHD-2; Chromodomain-helicase-DNA-binding protein 2
1107	CHD3	chromodomain helicase DNA binding protein 3	17p13.1	Chromatin remodelling	Mi-2a; ZFH; Mi2-ALPHA; ATP-dependent helicase CHD3; CHD-3; hZFH; mi-2 autoantigen 240 kDa protein; zinc-finger helicase (Snf2-like); Chromodomain-helicase-DNA-binding protein 3
1108	CHD4	chromodomain helicase DNA binding protein 4	12p13.31	Chromatin remodelling	Mi-2b; Mi2-BETA; CHD-4; ATP-dependent helicase CHD4; Mi-2 autoantigen 218 kDa protein; Chromodomain-helicase-DNA-binding protein 4
26038	CHD5	chromodomain helicase DNA binding protein 5	1p36.31	Chromatin remodelling	CHD-5; ATP-dependent helicase CHD5; Chromodomain-helicase-DNA-binding protein 5
84181	CHD6	chromodomain helicase DNA binding protein 6	20q12	#	KIAA1335; FLJ22369; dJ620E11.1; RIGB; CHD-6; ATP-dependent helicase CHD6; helicase C-terminal domain- and SNF2 N-terminal domain-containing protein; radiation-induced gene B protein; Chromodomain-helicase-DNA-binding protein 6
55636	CHD7	chromodomain helicase DNA binding protein 7	8q12.2	Chromatin remodelling	KIAA1416; FLJ20357; FLJ20361; CRG; CHARGE association; HH5; IS3; KAL5; ATP-dependent helicase CHD7; chromodomain helicase DNA binding protein 7 isoform CRA_e; CHD-7; Chromodomain-helicase-DNA-binding protein 7
57680	CHD8	chromodomain helicase DNA binding protein 8	14q11.2	Chromatin remodelling	KIAA1564; DUPLIN; HELSNF1; helicase with SNF2 domain 1; AUTS18; ATP-dependent helicase CHD8; axis duplication inhibitor; CHD-8; Chromodomain-helicase-DNA-binding protein 8
80205	CHD9	chromodomain helicase DNA binding protein 9	16q12.2	Chromatin remodelling	FLJ12178; KIAA0308; BC022889; AD013; CHD-9; CReMM; KISH2; PRIC320; ATP-dependent helicase CHD9; PPAR-alpha-interacting complex protein 320 kDa; PPAR{gamma}-interacting cofactor 320 kDa; chromatin remodeling factor CHROM1; chromatin-related mesenchymal modulator; chromatin-remodeling factor CHROM1; ciprofibrate bound protein p240; kismet homolog 2; peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein; proteinx0008; Chromodomain-helicase-DNA-binding protein 9
54108	CHRAC1	chromatin accessibility complex 1	8q24.3	Histone chaperone	CHRAC15; YCL1; histone-fold protein CHRAC15; CHARC1; CHARC15; CHRAC-1; CHRAC-155; DNA polymerase epsilon subunit p15; chromatin accessibility complex 15 kDa protein; HuCHRAC15; CHRAC-15; Chromatin accessibility complex protein 1
9575	CLOCK	clock circadian regulator	4q12	Histone modification write	KIAA0334; KAT13D; bHLHe8; clock (mouse) homolog; clock homolog (mouse); circadian locomoter output cycles kaput protein; class E basic helix-loop-helix protein 8; clock homolog; hCLOCK; Circadian locomoter output cycles protein kaput
1387	CREBBP	CREB binding protein	16p13.3	Histone modification write	KAT3A; RSTS; Rubinstein-Taybi syndrome; CREB-binding protein
10664	CTCF	CCCTC-binding factor	16q22.1	Chromatin remodelling	11 zinc finger transcriptional repressor; MRD21; 11-zinc finger protein; CTCFL paralog; Transcriptional repressor CTCF
30827	CXXC1	CXXC finger protein 1	18q21.1	Chromatin remodelling	HsT2645; PCCX1; hCGBP; PHF18; CGBP; ZCGPC1; CpG binding protein; DNA-binding protein with PHD finger and CXXC domain; zinc finger, CpG binding-type containing 1; CXXC finger 1 (PHD domain); 2410002I16Rik; 5830420C16Rik; PHD finger and CXXC domain-containing protein 1; cpG-binding protein; CXXC-type zinc finger protein 1
1616	DAXX	death domain associated protein	6p21.32	#	DAP6; death-associated protein 6; BING2; CENP-C binding protein; ETS1-associated protein 1; Fas-binding protein; fas death domain-associated protein; hDaxx; Death domain-associated protein 6
22907	DHX30	DExH-box helicase 30	3p21.31	#	KIAA0890; FLJ11214; DDX30; DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 30; DEAH (Asp-Glu-Ala-His) box polypeptide 30; RETCOR; DEAH box protein 30; retina co-repressor; Putative ATP-dependent RNA helicase DHX30
11083	DIDO1	death inducer-obliterator 1	20q13.33	#	dJ885L7.8; FLJ11265; KIAA0333; DIO-1; BYE1; C20orf158; DATF1; chromosome 20 open reading frame 158; death associated transcription factor 1; DATF-1; DIDO2; DIDO3; death-associated transcription factor 1; hDido1; Death-inducer obliterator 1
55929	DMAP1	DNA methyltransferase 1 associated protein 1	1p34.1	Chromatin remodelling	DNMAP1; FLJ11543; KIAA1425; DNMTAP1; MEAF2; SWC4; DNMT1 associated protein 1; DNMT1-associated protein 1; DNA methyltransferase 1-associated protein 1
1786	DNMT1	DNA methyltransferase 1	19p13.2	DNA modification	MCMT; CXXC9; DNMT; ADCADN; HSN1E; CXXC-type zinc finger protein 9; DNA MTase HsaI; DNA methyltransferase HsaI; m.HsaI; DNA (cytosine-5)-methyltransferase 1
1788	DNMT3A	DNA methyltransferase 3 alpha	2p23.3	DNA modification	DNMT3A2; M.HsaIIIA; TBRS; DNA MTase HsaIIIA; DNA cytosine methyltransferase 3A2; DNA methyltransferase HsaIIIA; DNA (cytosine-5)-methyltransferase 3A
1789	DNMT3B	DNA methyltransferase 3 beta	20q11.21	DNA modification	ICF; ICF1; M.HsaIIIB; DNA MTase HsaIIIB; DNA methyltransferase HsaIIIB; DNA (cytosine-5)-methyltransferase 3B
29947	DNMT3L	DNA methyltransferase 3 like	21q22.3	Histone modification read	MGC1090; cytosine-5-methyltransferase 3-like protein; human cytosine-5-methyltransferase 3-like protein; DNA (cytosine-5)-methyltransferase 3-like
84444	DOT1L	DOT1 like histone lysine methyltransferase	19p13.3	Histone modification write	KIAA1814; DOT1; KMT4; histone methyltransferase DOT1L; DOT1-like, histone H3 methyltransferase (S. cerevisiae); DOT1-like protein; DOT1-like, histone H3 methyltransferase; H3-K79-HMTase; histone H3-K79 methyltransferase; lysine N-methyltransferase 4; Histone-lysine N-methyltransferase, H3 lysine-79 specific
8193	DPF1	double PHD fingers 1	19q13.2	#	neuro-d4; NEUD4; BAF45b; BRG1-associated factor 45B; neuro-d4 homolog; Zinc finger protein neuro-d4
5977	DPF2	double PHD fingers 2	11q13.1	Chromatin remodelling	ubi-d4; BAF45d; REQ; requiem, apoptosis response zinc finger gene; UBID4; BRG1-associated factor 45D; apoptosis response zinc finger protein; protein requiem; requiem, apoptosis response zinc finger; Zinc finger protein ubi-d4
8110	DPF3	double PHD fingers 3	14q24.2	Chromatin remodelling	cer-d4; Cerd4; FLJ14079; BAF45c; BRG1-associated factor 45C; zinc finger protein cer-d4; Zinc finger protein DPF3
1843	DUSP1	dual specificity phosphatase 1	5q35.1	#	HVH1; CL100; MKP-1; PTPN10; MKP1; CL 100; MAP kinase phosphatase 1; dual specificity protein phosphatase hVH1; mitogen-activated protein kinase phosphatase 1; protein-tyrosine phosphatase CL100; Dual specificity protein phosphatase 1
8726	EED	embryonic ectoderm development	11q14.2	Polycomb group (PcG) protein	WAIT-1; HEED; WD protein associating with integrin cytoplasmic tails 1; WAIT1; Polycomb protein EED
